Num,PopName,PopType,TypeAlpha,Pop,Rep,DishNum,PopNum,DishType,ID,SurvivalID,NoGerm,TotGerm,PropGerm,Label,PlantDate,GermDate,CensorJMP,CensorR,DaysGermYes,Census,DaysCensus,DaysToGerm
138,BAY,Roadside,R,BAY-R,B,7,2,Construction,B_2_Construction,Construction_R,3,7,0.7,Seed8Date,44398,,1,0,-44398,44411,13,13
139,BAY,Roadside,R,BAY-R,B,7,2,Construction,B_2_Construction,Construction_R,3,7,0.7,Seed9Date,44398,,1,0,-44398,44411,13,13
140,BAY,Roadside,R,BAY-R,B,7,2,Construction,B_2_Construction,Construction_R,3,7,0.7,Seed10Date,44398,,1,0,-44398,44411,13,13
141,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed1Date,44398,44400,0,1,2,44411,13,2
142,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed2Date,44398,44400,0,1,2,44411,13,2
143,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed3Date,44398,44400,0,1,2,44411,13,2
144,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed4Date,44398,44400,0,1,2,44411,13,2
145,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed5Date,44398,44400,0,1,2,44411,13,2
146,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed6Date,44398,44401,0,1,3,44411,13,3
147,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed7Date,44398,44401,0,1,3,44411,13,3
148,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed8Date,44398,44401,0,1,3,44411,13,3
149,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed9Date,44398,,1,0,-44398,44411,13,13
150,BAY,Roadside,R,BAY-R,C,8,2,Construction,C_2_Construction,Construction_R,2,8,0.8,Seed10Date,44398,,1,0,-44398,44411,13,13
151,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
152,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
153,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed3Date,44398,44400,0,1,2,44411,13,2
154,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed4Date,44398,44400,0,1,2,44411,13,2
155,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed5Date,44398,44400,0,1,2,44411,13,2
156,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed6Date,44398,44400,0,1,2,44411,13,2
157,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed7Date,44398,44401,0,1,3,44411,13,3
158,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed8Date,44398,44401,0,1,3,44411,13,3
159,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed9Date,44398,44403,0,1,5,44411,13,5
160,BAY,Roadside,R,BAY-R,C,8,2,Forest,C_2_Forest,Forest_R,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
161,BAY,Roadside,R,BAY-R,D,9,2,Construction,D_2_Construction,Construction_R,0,10,1,Seed1Date,44398,44400,0,1,2,44411,13,2
162,BAY,Roadside,R,BAY-R,D,9,2,Construction,D_2_Construction,Construction_R,0,10,1,Seed2Date,44398,44400,0,1,2,44411,13,2
163,BAY,Roadside,R,BAY-R,D,9,2,Construction,D_2_Construction,Construction_R,0,10,1,Seed3Date,44398,44400,0,1,2,44411,13,2
